Time,IOCTLs_per_sec,GPU_State
15:31:29,5,IDLE / WAITING
15:57:15,106,COMPUTING
15:57:16,1401,COMPUTING
15:57:17,763,COMPUTING
15:57:18,195,COMPUTING
15:57:19,488,COMPUTING
15:57:20,6,IDLE / WAITING
15:57:34,1,IDLE / WAITING
15:57:54,2,IDLE / WAITING
15:57:58,21,IDLE / WAITING
15:57:59,7,IDLE / WAITING
15:58:04,4,IDLE / WAITING
15:58:12,1,IDLE / WAITING
15:58:19,1,IDLE / WAITING
15:58:35,3,IDLE / WAITING
15:58:44,89,COMPUTING
15:58:45,45,IDLE / WAITING
15:58:46,18,IDLE / WAITING
15:59:04,1,IDLE / WAITING
15:59:05,1,IDLE / WAITING
15:59:07,1,IDLE / WAITING
15:59:09,1,IDLE / WAITING
15:59:23,1,IDLE / WAITING
15:59:34,3,IDLE / WAITING
15:59:35,1,IDLE / WAITING
15:59:40,1,IDLE / WAITING
15:59:41,3,IDLE / WAITING
15:59:43,2,IDLE / WAITING
15:59:57,1,IDLE / WAITING
16:00:27,3,IDLE / WAITING
16:00:33,4,IDLE / WAITING
16:00:34,2,IDLE / WAITING
16:00:47,1,IDLE / WAITING
16:01:19,3,IDLE / WAITING
16:01:21,1,IDLE / WAITING
16:01:22,1,IDLE / WAITING
16:01:23,1,IDLE / WAITING
16:01:37,1,IDLE / WAITING
16:02:05,1,IDLE / WAITING
16:02:06,2,IDLE / WAITING
16:02:13,2,IDLE / WAITING
16:02:19,11,IDLE / WAITING
