Timestamp(us),Time,Direction,PID,TID,Command,Src_IP,Dest_IP,Port,Payload_Size_Bytes
7646189280,15:57:19,OUT_SEND,18853,18853,python,127.0.0.1,127.0.0.1,8000,156
7646189366,15:57:19,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7646189694,15:57:19,IN_RECV,17859,17859,python,127.0.0.1,127.0.0.1,36564,262144
7646309097,15:57:19,OUT_SEND,17859,17859,python,127.0.0.1,127.0.0.1,36564,139
7646309170,15:57:19,OUT_SEND,17859,17859,python,127.0.0.1,127.0.0.1,36564,44774270
7646309870,15:57:19,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7646309902,15:57:19,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7646309921,15:57:19,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7646309936,15:57:19,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7646309941,15:57:19,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7646309955,15:57:19,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7646309967,15:57:19,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7646309979,15:57:19,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7646309990,15:57:19,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7646309995,15:57:19,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7646310018,15:57:19,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7646310030,15:57:19,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7646310041,15:57:19,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7646310053,15:57:19,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7646310057,15:57:19,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7646310097,15:57:19,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7646310127,15:57:19,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
