Timestamp(us),Time,CPU_Core,PID,TID,Command,FD,Raw_Cmd_Hex,IOCTL_Dir,IOCTL_Type(Char),IOCTL_Nr,Data_Size_Bytes
6096016643,15:31:29,10,18120,18120,python3,3558637384,0x10,NONE,0x00,16,0
6096016692,15:31:29,10,18120,18120,python3,3558637384,0x10,NONE,0x00,16,0
6096016729,15:31:29,10,18120,18120,python3,3558637384,0x10,NONE,0x00,16,0
6096016767,15:31:29,10,18120,18120,python3,3558637384,0x10,NONE,0x00,16,0
6096016800,15:31:29,10,18120,18120,python3,3558637384,0x10,NONE,0x00,16,0
7642545858,15:57:15,8,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7642546540,15:57:15,8,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7642546865,15:57:15,8,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7642547309,15:57:15,8,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7642547324,15:57:15,8,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7642547337,15:57:15,8,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7642547342,15:57:15,8,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7642547351,15:57:15,8,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7642547354,15:57:15,8,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7642548468,15:57:15,8,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7642548642,15:57:15,8,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7642549084,15:57:15,8,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7642549349,15:57:15,8,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7642549528,15:57:15,8,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7642549630,15:57:15,8,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7642549742,15:57:15,8,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7642549747,15:57:15,8,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7642550745,15:57:15,8,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7642551210,15:57:15,8,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7642551401,15:57:15,8,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7642552142,15:57:15,8,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7642552665,15:57:15,8,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7642552892,15:57:15,8,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7642553091,15:57:15,8,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7642553341,15:57:15,8,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7642553921,15:57:15,8,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7642554044,15:57:15,8,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7642554348,15:57:15,8,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7642554951,15:57:15,8,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7642555717,15:57:15,8,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7642555897,15:57:15,8,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7642557152,15:57:15,8,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7642557416,15:57:15,8,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
