Time,Event_Type,Direction,Src_IP,Dest_IP,Payload_MB_or_Delay_MS
00:46:57,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
00:46:57,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
00:46:58,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
00:46:58,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
00:46:58,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,2.052
00:46:59,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
00:46:59,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
00:47:00,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
00:47:00,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
00:47:01,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
00:47:01,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
00:47:02,NETWORK_IO,IN_RECV,127.0.0.1,127.0.0.1,0.0312
00:47:02,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
00:47:02,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
00:47:03,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,4.9431
00:47:03,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
00:47:03,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
00:47:04,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
00:47:04,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
00:47:04,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:04,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:04,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:05,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
00:47:05,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
00:47:06,NETWORK_IO,IN_RECV,13.69.239.77,192.168.52.110,0.0166
00:47:06,NETWORK_IO,IN_RECV,13.69.239.77,192.168.52.110,0.0166
00:47:06,NETWORK_IO,IN_RECV,13.69.239.77,192.168.52.110,0.0166
00:47:06,NETWORK_IO,IN_RECV,13.69.239.77,192.168.52.110,0.0166
00:47:06,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
